
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB ▾,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,34,2016-01-15,21-123,DEN,,MIA,L (-3),1,37:33,4,14,.286,1,4,.250,2,2,1.000,0,1,1,2,0,0,0,1,11,4.1,-6,15.8
62,35,2016-01-17,21-125,DEN,,IND,W (+3),1,37:49,8,12,.667,1,3,.333,3,3,1.000,0,4,4,2,0,0,2,2,20,14.6,+6,27.5
63,38,2016-01-23,21-131,DEN,,DET,W (+3),1,32:05,5,10,.500,1,3,.333,2,2,1.000,0,4,4,2,5,0,1,4,13,13.0,+14,31.0
64,39,2016-01-25,21-133,DEN,,ATL,L (-14),1,31:10,6,9,.667,3,5,.600,0,0,,0,0,0,1,4,1,3,0,15,13.5,-11,26.5
65,40,2016-01-27,21-135,DEN,@,BOS,L (-8),1,32:49,4,7,.571,1,4,.250,6,6,1.000,0,7,7,0,2,0,2,1,15,13.4,-2,27.3
66,41,2016-01-28,21-136,DEN,@,WAS,W (+4),1,28:47,2,6,.333,1,2,.500,0,0,,0,1,1,0,2,0,2,2,5,1.1,+3,9.8
67,42,2016-01-30,21-138,DEN,@,IND,L (-4),1,35:41,7,11,.636,2,3,.667,2,3,.667,0,1,1,3,1,1,2,5,18,12.8,+2,27.8
68,43,2016-02-01,21-140,DEN,,TOR,W (+19),1,20:13,3,6,.500,2,3,.667,1,1,1.000,0,2,2,1,0,0,0,4,9,5.7,+6,14.0
69,47,2016-02-08,21-147,DEN,@,BRK,L (-1),1,39:36,8,12,.667,1,4,.250,0,0,,0,3,3,1,3,0,1,1,17,15.0,+9,28.3
70,48,2016-02-10,21-149,DEN,@,DET,W (+11),1,36:24,4,11,.364,1,3,.333,2,2,1.000,0,2,2,4,2,0,1,1,11,8.9,0,23.5
71,50,2016-02-21,21-160,DEN,,BOS,L (-20),1,38:05,6,14,.429,0,4,.000,2,3,.667,0,1,1,2,3,0,3,2,14,7.1,-8,22.8
72,56,2016-03-04,21-172,DEN,,BRK,L (-1),1,41:22,8,15,.533,1,7,.143,4,4,1.000,0,2,2,3,3,1,2,0,21,18.1,-1,35.5
73,58,2016-03-08,21-176,DEN,,NYK,W (+16),1,33:03,6,11,.545,2,4,.500,2,2,1.000,0,4,4,4,1,1,1,1,16,15.0,+19,31.5
74,61,2016-03-14,21-182,DEN,@,MIA,L (-5),1,34:12,6,14,.429,1,5,.200,5,6,.833,0,3,3,2,3,0,0,0,18,15.5,+12,31.3
75,65,2016-03-21,21-189,DEN,@,CLE,L (-33),1,34:19,4,12,.333,1,6,.167,2,2,1.000,0,2,2,1,2,0,0,2,11,6.7,-45,19.5
76,68,2016-03-27,21-195,DEN,@,LAC,L (-15),1,29:03,4,10,.400,3,5,.600,0,0,,0,1,1,2,2,0,0,2,11,8.5,-15,20.8
77,69,2016-03-28,21-196,DEN,,DAL,L (-9),1,30:03,5,9,.556,2,4,.500,1,1,1.000,0,0,0,1,0,0,1,1,13,8.0,+7,15.0
78,70,2016-03-30,21-198,DEN,@,MEM,W (+4),1,20:07,2,7,.286,1,5,.200,0,0,,0,1,1,4,1,1,0,4,5,4.1,+2,16.8
79,71,2016-03-31,21-199,DEN,@,NOP,L (-6),1,37:46,6,11,.545,1,3,.333,3,3,1.000,0,0,0,4,2,0,1,2,16,13.7,-21,26.0
80,72,2016-04-02,21-201,DEN,,SAC,L (-9),1,36:16,6,11,.545,4,7,.571,3,4,.750,0,4,4,2,0,2,0,1,19,16.9,+2,33.0
81,74,2016-04-08,21-207,DEN,,SAS,W (+4),1,29:03,2,6,.333,0,3,.000,2,2,1.000,0,3,3,3,1,0,1,3,6,4.4,+19,15.8
82,75,2016-04-10,21-209,DEN,,UTA,L (-16),1,33:04,5,9,.556,1,3,.333,2,2,1.000,0,3,3,2,0,0,0,1,13,10.6,-18,20.3
