
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
61,59,2016-03-01,34-350,ATL,@,GSW,L (-4),1,33:45,4,9,.444,3,6,.500,0,0,,2,5,7,1,3,0,0,2,11,12.1,+6,28.8
62,60,2016-03-04,34-353,ATL,@,LAL,W (+29),1,29:00,5,6,.833,4,4,1.000,1,1,1.000,0,5,5,3,0,0,0,1,15,16.0,+26,27.8
63,61,2016-03-05,34-354,ATL,@,LAC,W (+10),1,27:44,4,7,.571,2,5,.400,0,0,,0,1,1,3,2,0,4,5,10,5.1,+18,18.8
64,62,2016-03-08,34-357,ATL,@,UTA,W (+7),1,25:49,3,7,.429,2,5,.400,0,0,,0,4,4,0,0,0,1,1,8,4.1,+14,13.5
65,63,2016-03-10,34-359,ATL,@,TOR,L (-8),1,25:45,2,6,.333,1,3,.333,0,0,,0,2,2,1,0,0,0,0,5,2.9,+5,9.5
66,64,2016-03-12,34-361,ATL,,MEM,W (+12),1,31:10,6,8,.750,3,4,.750,0,0,,0,4,4,3,2,2,1,1,15,17.1,+22,33.5
67,65,2016-03-13,34-362,ATL,,IND,W (+29),1,24:22,5,13,.385,4,9,.444,0,0,,0,5,5,0,0,1,2,2,14,6.3,+20,23.3
68,66,2016-03-16,34-365,ATL,@,DET,W (+4),1,27:39,1,5,.200,1,3,.333,1,1,1.000,0,1,1,1,1,0,0,5,4,0.9,+19,9.3
69,67,2016-03-17,35-000,ATL,,DEN,W (+18),1,27:24,4,5,.800,3,3,1.000,0,0,,0,1,1,4,0,0,0,0,11,12.2,+30,19.8
70,68,2016-03-19,35-002,ATL,,HOU,W (+12),1,36:12,4,9,.444,3,7,.429,0,0,,0,2,2,3,0,0,2,2,11,6.2,+12,18.5
71,69,2016-03-21,35-004,ATL,,WAS,L (-15),1,19:08,1,2,.500,1,2,.500,0,1,.000,0,1,1,1,0,0,0,0,3,2.6,-11,6.3
72,70,2016-03-23,35-006,ATL,@,WAS,W (+21),1,31:34,5,11,.455,5,10,.500,0,0,,0,1,1,2,1,1,0,2,15,11.9,+7,25.8
73,71,2016-03-25,35-008,ATL,,MIL,W (+11),1,30:34,2,6,.333,0,4,.000,0,0,,2,2,4,4,0,0,0,1,4,5.0,+14,15.0
74,72,2016-03-26,35-009,ATL,@,DET,W (+17),1,29:01,5,10,.500,1,5,.200,1,1,1.000,0,3,3,0,0,0,0,3,12,6.7,+16,16.3
75,73,2016-03-28,35-011,ATL,@,CHI,W (+2),1,29:00,4,10,.400,2,5,.400,2,2,1.000,0,5,5,3,0,2,0,0,12,11.6,+17,27.8
76,74,2016-03-30,35-013,ATL,@,TOR,L (-8),1,23:33,1,6,.167,0,2,.000,1,1,1.000,2,3,5,1,0,0,0,1,3,1.8,-10,10.8
77,75,2016-04-01,35-015,ATL,,CLE,L (-2),1,41:10,5,8,.625,4,6,.667,0,0,,0,4,4,1,0,0,0,1,14,11.9,+33,22.5
78,76,2016-04-05,35-019,ATL,,PHO,W (+13),1,28:37,4,9,.444,2,6,.333,1,1,1.000,0,1,1,1,0,0,0,4,11,5.7,+8,14.8
79,77,2016-04-07,35-021,ATL,,TOR,W (+8),1,36:22,5,11,.455,4,8,.500,0,0,,0,5,5,4,0,3,1,3,14,12.5,+7,33.8
80,78,2016-04-09,35-023,ATL,,BOS,W (+11),1,26:21,2,4,.500,1,3,.333,0,0,,0,1,1,1,0,0,2,4,5,0.4,+26,7.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
81,79,2016-04-11,35-025,ATL,@,CLE,L (-15),1,32:08,1,5,.200,1,4,.250,0,0,,0,5,5,1,0,0,2,2,3,-0.7,+2,10.3
82,80,2016-04-13,35-027,ATL,@,WAS,L (-11),1,28:55,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,2,2,3,-1.5,-22,4.0
