
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,,2015-10-28,29-324,HOU,,DEN,L (-20),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
64,53,2016-03-09,30-092,HOU,@,PHI,W (+14),1,32:50,9,12,.750,0,0,,3,9,.333,9,9,18,1,1,2,2,3,21,22.7,+3,51.5
65,54,2016-03-11,30-094,HOU,@,BOS,W (+4),1,34:45,6,9,.667,0,0,,0,2,.000,2,10,12,2,1,1,3,2,12,11.0,+6,34.0
66,55,2016-03-12,30-095,HOU,@,CHO,L (-16),1,33:54,8,10,.800,0,0,,0,2,.000,4,9,13,4,0,0,4,2,16,14.9,-14,37.8
67,56,2016-03-14,30-097,HOU,,MEM,W (+49),1,23:57,2,4,.500,0,0,,3,6,.500,3,10,13,3,1,5,0,4,7,13.9,+31,39.8
68,57,2016-03-16,30-099,HOU,,LAC,L (-16),1,32:57,2,4,.500,0,0,,2,4,.500,2,5,7,1,0,0,3,4,6,2.2,-20,14.8
69,58,2016-03-18,30-101,HOU,,MIN,W (+5),1,29:24,5,7,.714,0,0,,0,2,.000,5,6,11,1,1,1,2,3,10,10.8,+12,29.8
70,59,2016-03-19,30-102,HOU,@,ATL,L (-12),1,35:28,2,7,.286,0,0,,4,7,.571,3,14,17,0,4,1,4,3,8,8.5,-14,37.3
71,60,2016-03-22,30-105,HOU,@,OKC,L (-4),1,38:03,7,8,.875,0,0,,2,3,.667,2,11,13,2,0,1,1,2,16,17.8,-5,38.3
72,61,2016-03-23,30-106,HOU,,UTA,L (-2),1,34:34,2,6,.333,0,0,,1,2,.500,1,7,8,1,0,6,2,3,5,5.7,-9,27.5
73,62,2016-03-25,30-108,HOU,,TOR,W (+3),1,23:24,1,2,.500,0,0,,0,5,.000,2,3,5,1,0,2,2,6,2,-1.0,+1,12.8
74,63,2016-03-27,30-110,HOU,@,IND,L (-3),1,30:24,5,6,.833,0,0,,1,3,.333,3,7,10,0,0,2,3,2,11,9.8,-15,27.5
75,64,2016-03-29,30-112,HOU,@,CLE,W (+6),1,30:46,2,3,.667,0,0,,7,22,.318,0,11,11,3,0,2,2,0,11,8.5,+3,33.8
76,65,2016-03-31,30-114,HOU,,CHI,L (-3),1,28:54,3,4,.750,0,0,,1,2,.500,4,9,13,0,1,3,2,1,7,11.2,+14,30.3
77,66,2016-04-03,30-117,HOU,,OKC,W (+8),1,20:24,2,6,.333,0,0,,0,0,,3,5,8,2,1,0,0,5,4,4.6,+5,19.0
78,67,2016-04-06,30-120,HOU,@,DAL,L (-2),1,33:34,7,9,.778,0,0,,0,4,.000,6,10,16,1,0,1,4,2,14,12.7,-1,37.0
79,68,2016-04-07,30-121,HOU,,PHO,L (-9),1,29:51,4,7,.571,0,1,.000,2,2,1.000,1,6,7,0,0,4,0,1,10,11.6,-5,26.8
80,69,2016-04-10,30-124,HOU,,LAL,W (+20),1,33:04,4,7,.571,0,0,,1,3,.333,2,11,13,1,2,3,0,3,9,13.2,+23,36.8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
81,70,2016-04-11,30-125,HOU,@,MIN,W (+24),1,26:56,8,11,.727,0,0,,3,4,.750,2,6,8,3,1,1,4,2,19,16.3,+18,35.5
82,71,2016-04-13,30-127,HOU,,SAC,W (+35),1,25:08,7,9,.778,0,1,.000,0,0,,2,8,10,0,0,1,0,1,14,14.6,+10,30.0
